5810,Huron Natural Area Comfort Station,Comfort Station,TRILLIUM DR,N,DAWN TO DUSK (SEASONAL),541950.831,4805189.147
6432,McLennan Park Comfort Station,Comfort Station,BARWOOD CRES,N,DAWN TO DUSK (SEASONAL),541588.7384,4807305.0209
2860,Breithaupt Park Comfort Station,Comfort Station,MAPLEWOOD PL,N,DAWN TO DUSK (SEASONAL),540773.2381,4813165.3804
1804,Victoria Park Comfort Station Pavilion,Comfort Station,SCHNEIDER AVE,Y,DAWN TO DUSK (SEASONAL),540523.6991,4810372.5784
7212,Victoria Park Comfort Station Jubilee,Comfort Station,DAVID ST,Y,DAWN TO DUSK (SEASONAL),540944.1173,4810637.6115
8293,Wilson Pool Comfort Station,Comfort Station,WILSON AVE,Y,DAWN TO DUSK (SEASONAL),543854.7895,4808604.1303
8292,Doon Valley Golf Comfort Station,Comfort Station,,Y,DURING GOLF COURSE HOURS (SEASONAL),548931.4445,4804799.3593
2859,Kiwanis Park Comfort Station/ Changerooms,Comfort Station,KIWANIS PARK DR,N,DURING PARK HOURS (SEASONAL),542365.5405,4816792.5858
2871,Breithaupt Park Comfort Station,Comfort Station,UNION ST,N,BY REQUEST,540691.714,4812762.6783
7934,Rockway Golf Comfort Station,Comfort Station,COURTLAND AVE E,Y,DURING GOLF COURSE HOURS (SEASONAL),542707.6579,4809077.7077
12132,Splash Circle Wash And Change Rooms,Comfort Station,THE BOARDWALK,N,DURING THE BOARDWALK HOURS,535456.7615,4809336.8694
13832,Schlegel Park - Heritage Comfort Station,Comfort Station,FISCHER HALLMAN RD,N,DURING PARK HOURS (SEASONAL),541308.386,4803148.1133
17012,Breithaupt Park,Portable,FAIRFIELD AVE,N,,540862.5698,4812771.7728
17013,Breithaupt Park,Portable,UNION ST,N,,540806.8704,4812857.7452
17014,Breithaupt Park,Portable,RIDGEWOOD AVE,N,,540941.8081,4812805.093
17015,Joe Thompson Park,Portable,BRIDGE ST E,N,,541988.435,4814341.1551
17016,Bridgeport Sportsfield (Grca),Portable,BRIDGE ST E,N,,542210.0969,4814210.2825
